,Technology Skills
0,java
1,object oriented
2,relational database
3,sql
4,jpa2
5,hibernate
6,mybatis
7,git
8,maven
9,gradle
10,continuous integration
11,continuous delivery
12,development processes
13,jenkins
14,bamboo
15,analytical
16,conceptual
17,data models
18,naming convention
19,high throughput
20,access services
21,profile data
22,data model
23,analytics
24,integrations
25,enterprise architectures
26,e
27,data warehouse
28,datum mart
29,profiling
30,algorithms
31,python
32,scala
33,programming
34,mysql
35,nosql
36,processing engines
37,apache spark
38,apache flink
39,apache kafka
40,aws kinesis
41,gcp
42,cloud platform
43,unix
44,linux
45,scripting
46,tcp ip
47,docker
48,kubernetes
49,api gateway
50,load balancers
51,map
52,reliable
53,multicast
54,paxos
55,github
56,microservices
57,rest apis
58,writing
59,ruby
60,bazel
61,websocket
62,redis
63,javascript
64,html
65,css
66,web ui
67,libraries
68,angular
69,ember
70,knockout
71,component libraries
72,vue
73,bootstrap
74,typescript
75,dependency injection
76,amd
77,requirejs
78,commonjs
79,stylesheet languages
80,sass
81,redux
82,reactive
83,rxjs
84,service orient architecture
85,consuming service
86,layers
87,scalable
88,json
89,architectural pattern
90,eclipse
91,netbeans
92,troubleshooting
93,mongodb
94,cassandra
95,java application server
96,application server
97,oracle weblogic
98,tomcat
99,jasmine
100,protractor
101,junit
102,chrome
103,responsive design
104,performance auditing
105,perforce
106,scrum
107,problem solve
108,django
109,flask
110,linux command
111,usability
112,hive
113,tensorflow
114,mesos
115,benchmarking
116,user interface
117,qt
118,qml
119,c++
120,embedded linux systems
121,network protocol
122,yocto
123,new product
124,product platforms
125,devops
126,best practices
127,long term
128,delivery process
129,reliability
130,security protocols
131,governance
132,term long term
133,abstraction
134,e commerce
135,product development
136,end end
137,scale
138,large scale systems
139,threading
140,oriented programming
141,object orient programming
142,web application
143,backend
144,react js
145,webpack
146,markup language
147,html5
148,data modeling
149,testing frameworks
150,architectural development
151,congruence
152,compatibility
153,based solutions
154,statistical
155,validation
156,cleanliness
157,datasets
158,dataset
159,biostatistical
160,macros
161,timelines
162,integrated databases
163,accountability
164,budget
165,adam
166,bid
167,operational
168,computer science
169,base sas
170,sas stat
171,sas macro
172,leadership
173,communication skills
174,detail orient
175,data engineer
176,agile
177,analysis data
178,big datum
179,data pipelines
180,analytical technique
181,etl
182,redshift
183,emr
184,dynamodb
185,kinesis
186,tableau
187,real time
188,google cloud
189,data visualization
190,mapreduce aws
191,pyspark
192,aws glue
193,data software
194,software developer
195,predictive analytic
196,decision model
197,data mining
198,algorithm design
199,agile development
200,collaborative filtering
201,mobile application
202,appstore
203,xcode
204,restful api
205,software engineers
206,self starter
207,google cloud platform
208,windows environments
209,hypervisors
210,file
211,kubernetes service
212,elastic compute
213,sprint planning
214,design consideration
215,object oriented languages
216,soa
217,entity framework
218,nhibernate
219,tdd
220,nunit
221,xunit
222,oop
223,public cloud
224,script
225,persistent
226,data retrieval
227,designs queries
228,microsoft sql server
229,debugging
230,performance optimization
231,xamarin
232,business requirement
233,transforms business
234,debug
235,test case
236,prototypes
237,linq
238,xamarin form
239,xamarin ios xamarin
240,xamarin studio
241,apple io
242,android
243,xaml
244,azure active directory
245,active directory
246,hockeyapp
247,visual studio
248,studio app
249,automation testing
250,agile methodology
251,library
252,pcl
253,sqlite
254,sap hana
255,api
256,rest api
257,integration
258,swift
259,self motivated
260,crm
261,cms
